Schedule_ID,Run_ID,W,H,DZ_mm,Err_mean_mm,Err_P1P2_mm,Err_P3P4_mm,Err_P5P6_mm,Err_P7P8_mm
202511270905601475,001,0,10,3801.0,15.182479249999943,17.044300999999905,7.830580999999938,18.66396999999995,17.19106499999998
202511270905601474,001,0,10,3800.0,38.84658325000001,51.480511999999976,65.53760499999999,19.530737000000045,18.83747900000003
202511201026498852,001,0,10,1842.0,21.962158250000073,13.017166000000088,10.834399000000076,33.90855600000009,30.088512000000037
202511201026498851,001,0,10,1849.0,22.157587750000005,28.69750799999997,21.535353999999984,19.747007000000053,18.65048200000001
202511201026498858,001,0,10,1736.0,40.779798,22.470487999999932,41.118208000000095,51.26841000000002,48.262085999999954
202511270905601477,001,0,10,1138.0,7.11685650000004,0.5619380000000547,15.4307960000001,5.043045000000006,7.431646999999998
202511201026498856,001,0,10,1778.0,16.647485750000044,6.193256000000019,2.58248100000003,24.2526170000001,33.561589000000026
202511201026498854,001,0,10,1804.0,31.739667999999995,12.710201999999981,15.120535000000018,61.77382499999999,37.35410999999999
202511201026498863,001,0,10,1650.0,48.30844349999998,68.81111899999996,64.14232900000002,32.45962799999995,27.820697999999993
202511271034602746,001,0,10,1102.0,37.62601725000002,47.07036500000004,56.019731999999976,32.24705600000004,15.166916000000015
202511201026498860,001,0,10,1704.0,58.86575675,91.8673859999999,81.33313900000007,29.460195999999996,32.802306000000044
202511201026498857,001,0,10,1759.0,16.329229999999995,3.468838999999889,3.2005240000000867,33.674027000000024,24.973529999999982
202511270905601476,001,0,10,3801.0,22.511752,15.336696000000074,28.220800999999938,38.10826199999997,8.381249000000025
202511270905601473,001,0,10,3800.0,24.382498999999996,20.28652599999998,0.28117999999994936,46.90146800000002,30.06082200000003
202511270905601478,001,0,10,1155.0,18.289342999999946,12.038340999999946,28.83518099999992,18.698279999999954,13.585569999999962
202511270905601472,001,0,10,3800.0,23.00158424999998,6.8844910000000255,30.442354999999907,31.420259999999985,23.259231
202511201026498859,001,0,10,1725.0,15.918115250000028,0.4896439999999984,1.6884919999999966,37.314509000000044,24.179816000000073
202511201026498861,001,0,10,1679.0,51.51936875000001,74.91902000000005,66.69268499999998,31.82338100000004,32.64238899999998
202511201026498862,001,0,10,1665.0,25.912978250000037,15.950012000000015,18.4617760000001,35.014166000000046,34.22595899999999
202511201026498853,001,0,10,1856.0,44.85303625,43.220605999999975,47.430593000000044,77.374594,11.386351999999988
202511270905601475,002,0,10,3801.0,15.18657324999998,17.051999999999907,7.838167999999996,18.722972000000027,17.133152999999993
202511270905601474,002,0,10,3800.0,38.84658300000001,51.48051099999998,65.53760499999999,19.530737000000045,18.83747900000003
202511201026498852,002,0,10,1842.0,21.962158250000073,13.017166000000088,10.834399000000076,33.90855600000009,30.088512000000037
202511201026498851,002,0,10,1849.0,22.139102500000007,28.66048599999999,21.499499000000014,19.817432000000053,18.57899299999997
202511201026498858,002,0,10,1736.0,40.788711250000034,22.488828000000012,41.13568600000008,51.24448800000005,48.285843
202511270905601477,002,0,10,1138.0,7.11685650000004,0.5619380000000547,15.4307960000001,5.043045000000006,7.431646999999998
202511201026498856,002,0,10,1778.0,16.64643700000002,6.191268000000036,2.580504000000019,24.31960200000003,33.49437399999999
202511201026498854,002,0,10,1804.0,31.739667749999995,12.710201999999981,15.120535000000018,61.77382399999999,37.35410999999999
202511201026498863,002,0,10,1650.0,48.24528400000003,68.67619400000001,64.01674400000002,32.58086100000003,27.707337000000052
202511271034602746,002,0,10,1102.0,37.62601725000002,47.07036500000004,56.019731999999976,32.24705600000004,15.166916000000015
202511201026498860,002,0,10,1704.0,58.86575675,91.8673859999999,81.33313900000007,29.460195999999996,32.802306000000044
202511201026498857,002,0,10,1759.0,16.3312545,3.549430999999913,3.120924000000059,33.49234999999999,25.16231300000004
202511270905601476,002,0,10,3801.0,22.511752,15.336696000000074,28.220800999999938,38.10826199999997,8.381249000000025
202511270905601473,002,0,10,3800.0,24.357166750000005,20.236046999999985,0.2336440000000266,46.87193400000001,30.087041999999997
202511270905601478,002,0,10,1155.0,18.289342999999946,12.038340999999946,28.83518099999992,18.698279999999954,13.585569999999962
202511270905601472,002,0,10,3800.0,23.038021749999984,6.956259999999929,30.51243700000009,31.15018699999996,23.533202999999958
202511201026498859,002,0,10,1725.0,15.911162250000018,0.4753419999999551,1.6750070000000505,37.31052700000009,24.183772999999974
202511201026498861,002,0,10,1679.0,51.51936875000001,74.91902000000005,66.69268499999998,31.82338100000004,32.64238899999998
202511201026498862,002,0,10,1665.0,25.877338500000036,15.876005000000077,18.391834000000017,35.013802000000055,34.227712999999994
202511201026498853,002,0,10,1856.0,44.85300774999999,43.220028999999954,47.43097599999999,77.46891000000005,11.292115999999965
202511270905601475,004,0,10,3801.0,15.156425000000013,16.993649000000005,7.7816589999999906,18.532046000000037,17.31834600000002
202511270905601474,004,0,10,3800.0,38.84658325000001,51.480511999999976,65.53760499999999,19.530737000000045,18.83747900000003
202511201026498852,004,0,10,1842.0,21.962158000000045,13.017166000000088,10.834399000000076,33.90855600000009,30.088510999999926
202511201026498851,004,0,10,1849.0,22.139102500000007,28.66048599999999,21.499499000000014,19.817432000000053,18.57899299999997
202511201026498858,004,0,10,1736.0,40.779798,22.470487999999932,41.118208000000095,51.26841000000002,48.262085999999954
202511270905601477,004,0,10,1138.0,6.956013999999982,0.4003869999999097,15.279588999999987,4.878912000000014,7.265168000000017
